Scrip,Open,High,Low,Close,Volume,Date
JMISMDL,255.5,255.5,255.5,255.5,5,2023-01-31
JMISMDL,255.5,255.5,255.5,255.5,1761,2023-01-01
JUTESPINN,265.4,265.4,265.4,265.4,10,2023-01-31
JUTESPINN,329.9,329.9,329.9,329.9,803,2023-01-01
KARNAPHULI,31.3,31.8,31.3,31.3,17360,2023-01-31
KARNAPHULI,27.4,28.1,27.4,27.4,74514,2023-01-01
KAY&QUE,241.7,241.7,235.3,235.3,3446,2023-01-31
KAY&QUE,284.9,284.9,263.7,264.5,21562,2023-01-01
KBPPWBIL,11.0,11.0,11.0,11.0,620,2023-01-31
KBPPWBIL,13.2,13.2,13.2,13.2,1251,2023-01-01
KDSALTD,77.0,77.0,77.0,77.0,4000,2023-01-31
KDSALTD,77.0,77.0,77.0,77.0,1,2023-01-01
KEYACOSMET,6.4,6.4,6.4,6.4,47987,2023-01-31
KEYACOSMET,6.4,6.4,6.4,6.4,51198,2023-01-01
KOHINOOR,424.1,434.8,424.0,425.1,30881,2023-01-31
KOHINOOR,481.6,485.0,451.1,457.1,24909,2023-01-01
KPCL,26.6,26.6,26.6,26.6,2,2023-01-31
KPCL,26.6,26.6,26.6,26.6,501,2023-01-01
LANKABAFIN,26.0,26.0,26.0,26.0,10445,2023-01-31
LANKABAFIN,26.0,26.0,26.0,26.0,572,2023-01-01
LEGACYFOOT,46.7,46.7,46.7,46.7,2230,2023-01-31
LEGACYFOOT,55.7,55.7,55.7,55.7,75,2023-01-01
LHBL,64.8,64.8,64.8,64.8,33292,2023-01-31
LHBL,64.8,64.8,64.8,64.8,32836,2023-01-01
LIBRAINFU,688.7,688.7,688.7,688.7,543,2023-01-31
LIBRAINFU,849.0,849.0,849.0,849.0,16,2023-01-01
LINDEBD,1397.7,1397.7,1397.7,1397.7,47,2023-01-31
LINDEBD,1397.7,1397.7,1397.7,1397.7,34,2023-01-01
LOVELLO,37.9,37.9,37.9,37.9,7665,2023-01-31
LOVELLO,37.9,37.9,37.9,37.9,13260,2023-01-01
LRBDL,35.4,36.7,35.4,36.3,935975,2023-01-31
LRBDL,36.1,36.5,35.5,35.6,402763,2023-01-01
LRGLOBMF1,6.4,6.4,6.4,6.4,13,2023-01-31
LRGLOBMF1,6.4,6.4,6.4,6.4,10,2023-01-01
MAKSONSPIN,22.3,22.3,22.3,22.3,21026,2023-01-31
MAKSONSPIN,22.3,22.3,22.3,22.3,125,2023-01-01
MARICO,2421.5,2421.5,2421.5,2421.5,239,2023-01-31
MARICO,2421.5,2421.5,2421.5,2421.5,632,2023-01-01
MATINSPINN,77.6,77.6,77.6,77.6,200,2023-01-31
MATINSPINN,77.6,77.6,77.6,77.6,9,2023-01-01
MBL1STMF,6.6,6.6,6.6,6.6,25815,2023-01-31
MBL1STMF,6.6,6.6,6.6,6.6,18506,2023-01-01
MEGCONMILK,33.6,33.6,33.6,33.6,501,2023-01-31
