"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2015","4,468.02","4,468.02","4,468.02","4,468.02","","0.57%"
"03/18/2015","4,442.81","4,442.81","4,442.81","4,442.81","","-0.79%"
"03/16/2015","4,477.99","4,477.99","4,477.99","4,477.99","","-1.29%"
"03/15/2015","4,536.39","4,536.39","4,536.39","4,536.39","","-0.45%"
"03/12/2015","4,556.94","4,556.94","4,556.94","4,556.94","","-0.63%"
"03/11/2015","4,585.72","4,585.72","4,585.72","4,585.72","","-1.37%"
"03/10/2015","4,649.30","4,649.30","4,649.30","4,649.30","","0.50%"
"03/09/2015","4,626.22","4,626.22","4,626.22","4,626.22","","0.03%"
"03/08/2015","4,624.94","4,624.94","4,624.94","4,624.94","","-0.86%"
"03/05/2015","4,664.91","4,664.91","4,664.91","4,664.91","","-0.36%"
"03/04/2015","4,681.53","4,681.53","4,681.53","4,681.53","","-0.30%"
"03/03/2015","4,695.79","4,695.79","4,695.79","4,695.79","","-0.50%"
"03/02/2015","4,719.40","4,719.40","4,719.40","4,719.40","","-0.43%"
"03/01/2015","4,739.65","4,739.65","4,739.65","4,739.65","","-0.49%"
"02/26/2015","4,763.21","4,763.21","4,763.21","4,763.21","","0.44%"
"02/25/2015","4,742.22","4,742.22","4,742.22","4,742.22","","-1.23%"
"02/24/2015","4,801.14","4,801.14","4,801.14","4,801.14","","-0.16%"
"02/23/2015","4,808.64","4,808.64","4,808.64","4,808.64","","0.13%"
"02/22/2015","4,802.17","4,802.17","4,802.17","4,802.17","","0.29%"
"02/19/2015","4,788.23","4,788.23","4,788.23","4,788.23","","-0.29%"
"02/18/2015","4,802.27","4,802.27","4,802.27","4,802.27","","0.04%"
"02/17/2015","4,800.40","4,800.40","4,800.40","4,800.40","","0.65%"
"02/16/2015","4,769.47","4,769.47","4,769.47","4,769.47","","-1.28%"
"02/15/2015","4,831.17","4,831.17","4,831.17","4,831.17","","-0.22%"
"02/12/2015","4,841.72","4,841.72","4,841.72","4,841.72","","0.65%"
"02/11/2015","4,810.53","4,810.53","4,810.53","4,810.53","","0.50%"
"02/10/2015","4,786.69","4,786.69","4,786.69","4,786.69","","1.57%"
"02/09/2015","4,712.56","4,712.56","4,712.56","4,712.56","","0.23%"
"02/08/2015","4,701.60","4,701.60","4,701.60","4,701.60","","0.35%"
